email_text,prediction,feedback
"Здравствуйте Make money online popstuding.blogspot.cz nV,

Благодарим вас за регистрацию на сайте Glass. Ваша учётная запись создана, но должна быть проверена прежде, чем вы сможете ею воспользоваться.
Чтобы подтвердить вашу учётную запись, перейдите по ссылке, приведённой ниже, или вставьте её в адресную строку браузера:
 https://glass-xl.ru/component/users/?task=registration.activate&token=0e30ac4a3977cca40747749eb2c6d3e2&Itemid=101

После проверки, администратору сайта будет отправлено сообщение о необходимости активировать вашу учётную запись.
После активации учётной записи вы сможете войти на сайт https://glass-xl.ru/, используя логин и пароль приведённые ниже:

Логин: Make money online popstuding.blogspot.cz nV",Phishing,correct
"Здравствуйте Make money online popstuding.blogspot.cz nV,

Благодарим вас за регистрацию на сайте Glass. Ваша учётная запись создана, но должна быть проверена прежде, чем вы сможете ею воспользоваться.
Чтобы подтвердить вашу учётную запись, перейдите по ссылке, приведённой ниже, или вставьте её в адресную строку браузера:
 https://glass-xl.ru/component/users/?task=registration.activate&token=0e30ac4a3977cca40747749eb2c6d3e2&Itemid=101

После проверки, администратору сайта будет отправлено сообщение о необходимости активировать вашу учётную запись.
После активации учётной записи вы сможете войти на сайт https://glass-xl.ru/, используя логин и пароль приведённые ниже:

Логин: Make money online popstuding.blogspot.cz nV",Phishing,correct
"Здравствуйте Make money online popstuding.blogspot.cz nV,

Благодарим вас за регистрацию на сайте Glass. Ваша учётная запись создана, но должна быть проверена прежде, чем вы сможете ею воспользоваться.
Чтобы подтвердить вашу учётную запись, перейдите по ссылке, приведённой ниже, или вставьте её в адресную строку браузера:
 https://glass-xl.ru/component/users/?task=registration.activate&token=0e30ac4a3977cca40747749eb2c6d3e2&Itemid=101

После проверки, администратору сайта будет отправлено сообщение о необходимости активировать вашу учётную запись.
После активации учётной записи вы сможете войти на сайт https://glass-xl.ru/, используя логин и пароль приведённые ниже:

Логин: Make money online popstuding.blogspot.cz nV
",Phishing,correct
"
Pallav N <pallavn@presentations.ai>
Mon, Oct 28, 8:00 PM (3 days ago)
to me

Hey,

 I saw that you signed up @ Presentations.ai. I would love to hear about your experience with our product - this will immensely help us shape the product roadmap.

 I would love to know:
 - What kind of presentation did you make today? (e.g., sales or investment pitch, topic explainer, internal meeting, for school etc.)
 - What made you happy with our product / output today? What can we improve?
 - How often do you make presentations and how important are they to your work life? (e.g., once per day, week, month, quarter etc.)
 - What would make you purchase our product and why?

 Please just hit reply and add your answers.

 Thanks,
 Pallav from Presentations.ai team",Not Phishing,correct
"
Pallav N <pallavn@presentations.ai>
Mon, Oct 28, 8:00 PM (3 days ago)
to me

Hey,

 I saw that you signed up @ Presentations.ai. I would love to hear about your experience with our product - this will immensely help us shape the product roadmap.

 I would love to know:
 - What kind of presentation did you make today? (e.g., sales or investment pitch, topic explainer, internal meeting, for school etc.)
 - What made you happy with our product / output today? What can we improve?
 - How often do you make presentations and how important are they to your work life? (e.g., once per day, week, month, quarter etc.)
 - What would make you purchase our product and why?

 Please just hit reply and add your answers.

 Thanks,
 Pallav from Presentations.ai team",Not Phishing,correct
"
Pallav N <pallavn@presentations.ai>
Oct 28, 2024, 8:00 PM (3 days ago)
to me

Hey,

 I saw that you signed up @ Presentations.ai. I would love to hear about your experience with our product - this will immensely help us shape the product roadmap.

 I would love to know:
 - What kind of presentation did you make today? (e.g., sales or investment pitch, topic explainer, internal meeting, for school etc.)
 - What made you happy with our product / output today? What can we improve?
 - How often do you make presentations and how important are they to your work life? (e.g., once per day, week, month, quarter etc.)
 - What would make you purchase our product and why?

 Please just hit reply and add your answers.

 Thanks,
 Pallav from Presentations.ai team",Not Phishing,correct
"Pallav N <pallavn@presentations.ai>
Oct 28, 2024, 8:00 PM (3 days ago)
to me

Hey,

 I saw that you signed up @ Presentations.ai. I would love to hear about your experience with our product - this will immensely help us shape the product roadmap.

 I would love to know:
 - What kind of presentation did you make today? (e.g., sales or investment pitch, topic explainer, internal meeting, for school etc.)
 - What made you happy with our product / output today? What can we improve?
 - How often do you make presentations and how important are they to your work life? (e.g., once per day, week, month, quarter etc.)
 - What would make you purchase our product and why?

 Please just hit reply and add your answers.

 Thanks,
 Pallav from Presentations.ai team",Not Phishing,correct
"Pallav N <pallavn@presentations.ai>
Oct 28, 2024, 8:00 PM (3 days ago)
to me

Hey,

 I saw that you signed up @ Presentations.ai. I would love to hear about your experience with our product - this will immensely help us shape the product roadmap.

 I would love to know:
 - What kind of presentation did you make today? (e.g., sales or investment pitch, topic explainer, internal meeting, for school etc.)
 - What made you happy with our product / output today? What can we improve?
 - How often do you make presentations and how important are they to your work life? (e.g., once per day, week, month, quarter etc.)
 - What would make you purchase our product and why?

 Please just hit reply and add your answers.

 Thanks,
 Pallav from Presentations.ai team
",Not Phishing,correct
"Pallav N <pallavn@presentations.ai>
Oct 28, 2024, 8:00 PM (3 days ago)
to me

Hey,

 I saw that you signed up @ Presentations.ai. I would love to hear about your experience with our product - this will immensely help us shape the product roadmap.

 I would love to know:
 - What kind of presentation did you make today? (e.g., sales or investment pitch, topic explainer, internal meeting, for school etc.)
 - What made you happy with our product / output today? What can we improve?
 - How often do you make presentations and how important are they to your work life? (e.g., once per day, week, month, quarter etc.)
 - What would make you purchase our product and why?

 Please just hit reply and add your answers.

 Thanks,
 Pallav from Presentations.ai team
",Not Phishing,correct
"Pallav N <pallavn@presentations.ai>
Oct 28, 2024, 8:00 PM (3 days ago)
to me

Hey,

 I saw that you signed up @ Presentations.ai. I would love to hear about your experience with our product - this will immensely help us shape the product roadmap.

 I would love to know:
 - What kind of presentation did you make today? (e.g., sales or investment pitch, topic explainer, internal meeting, for school etc.)
 - What made you happy with our product / output today? What can we improve?
 - How often do you make presentations and how important are they to your work life? (e.g., once per day, week, month, quarter etc.)
 - What would make you purchase our product and why?

 Please just hit reply and add your answers.

 Thanks,
 Pallav from Presentations.ai team",Not Phishing,correct
